,Date,City,Country,Latitude,Longitude,Cloudiness,Max Temp,Humidity,Wind Speed
0,Sun Dec  3 21:00:00 2017,Mahebourg,MU,-20.41,57.7,40,29.0,62,7.2
1,Sun Dec  3 22:00:36 2017,Ushuaia,AR,-54.8,-68.3,76,8.46,85,5.9
2,Sun Dec  3 21:56:00 2017,Mastic Beach,US,40.77,-72.85,1,2.6,100,2.57
3,Sun Dec  3 21:00:00 2017,Torbay,CA,47.67,-52.73,90,0.0,100,5.7
4,Sun Dec  3 22:02:15 2017,Feijo,BR,-8.16,-70.35,12,25.11,92,1.4
5,Sun Dec  3 22:00:36 2017,Ushuaia,AR,-54.8,-68.3,76,8.46,85,5.9
6,Sun Dec  3 22:02:16 2017,Amalapuram,IN,16.58,82.02,0,27.58,63,6.55
7,Sun Dec  3 21:00:00 2017,Bredasdorp,ZA,-34.53,20.04,8,18.0,68,0.5
8,Sun Dec  3 21:00:00 2017,East London,ZA,-33.02,27.91,0,18.0,88,2.1
9,Sun Dec  3 21:35:00 2017,Owosso,US,43.0,-84.18,1,4.23,65,1.5
10,Sun Dec  3 22:02:18 2017,Ajdabiya,LY,30.76,20.23,56,13.13,94,4.55
11,Sun Dec  3 21:00:00 2017,Bathsheba,BB,13.22,-59.52,40,27.0,88,7.7
12,Sun Dec  3 22:02:19 2017,Morondava,MG,-20.28,44.28,12,27.36,96,1.47
13,Sun Dec  3 22:02:20 2017,Qaanaaq,GL,77.48,-69.36,64,-10.25,91,1.92
14,Sun Dec  3 22:02:20 2017,Turgoyak,RU,55.15,60.12,92,-3.82,86,2.87
15,Sun Dec  3 22:02:20 2017,Busselton,AU,-33.65,115.33,80,21.61,92,3.77
16,Sun Dec  3 21:20:00 2017,Havoysund,NO,71.0,24.66,75,-1.0,86,5.1
17,Sun Dec  3 22:02:21 2017,Funadhoo,MV,6.15,73.27,0,28.43,100,2.35
18,Sun Dec  3 22:02:20 2017,Busselton,AU,-33.65,115.33,80,21.61,92,3.77
19,Sun Dec  3 22:02:22 2017,Umm Kaddadah,SD,13.6,26.69,0,16.83,53,4.97
20,Sun Dec  3 21:00:00 2017,Georgetown,GY,6.8,-58.16,92,24.0,100,2.1
21,Sun Dec  3 21:00:00 2017,East London,ZA,-33.02,27.91,0,18.0,88,2.1
22,Sun Dec  3 22:02:23 2017,Tamandare,BR,-8.76,-35.1,36,23.86,98,2.95
23,Sun Dec  3 21:00:00 2017,Cape Town,ZA,-33.93,18.42,20,18.0,63,7.7
24,Sun Dec  3 21:41:00 2017,Hamilton,CA,43.23,-79.95,5,-1.69,100,1.5
25,Sun Dec  3 22:02:24 2017,Port Alfred,ZA,-33.59,26.89,24,19.61,93,1.62
26,Sun Dec  3 22:02:25 2017,Ulundi,ZA,-28.34,31.42,92,18.18,85,1.47
27,Sun Dec  3 21:00:00 2017,Cape Town,ZA,-33.93,18.42,20,18.0,63,7.7
28,Sun Dec  3 22:02:25 2017,Verkhnyaya Inta,RU,65.98,60.31,92,-1.75,78,2.92
29,Sun Dec  3 22:02:26 2017,Manaure,CO,11.78,-72.44,68,27.71,100,9.67
30,Sun Dec  3 21:00:00 2017,Port Elizabeth,ZA,-33.92,25.57,0,19.0,72,1.0
31,Sun Dec  3 22:02:27 2017,Tambopata,PE,-12.73,-69.18,24,22.36,99,0.82
32,Sun Dec  3 22:02:28 2017,Atar,MR,20.52,-13.05,0,9.75,67,1.8
33,Sun Dec  3 22:02:28 2017,Dudinka,RU,69.41,86.18,64,-15.55,80,3.17
34,Sun Dec  3 22:02:20 2017,Busselton,AU,-33.65,115.33,80,21.61,92,3.77
35,Sun Dec  3 21:00:00 2017,Monrovia,LR,6.3,-10.8,75,25.0,100,4.37
36,Sun Dec  3 22:02:24 2017,Port Alfred,ZA,-33.59,26.89,24,19.61,93,1.62
37,Sun Dec  3 21:00:00 2017,Ondangwa,NA,-17.92,15.95,24,25.0,57,1.5
38,Sun Dec  3 21:20:00 2017,Kopervik,NO,59.28,5.31,40,3.26,75,7.2
39,Sun Dec  3 21:00:00 2017,Cape Town,ZA,-33.93,18.42,20,18.0,63,7.7
40,Sun Dec  3 21:00:00 2017,Bredasdorp,ZA,-34.53,20.04,8,18.0,68,0.5
41,Sun Dec  3 22:02:31 2017,Kampene,CD,-3.6,26.67,92,20.18,100,1.12
42,Sun Dec  3 22:00:36 2017,Ushuaia,AR,-54.8,-68.3,76,8.46,85,5.9
43,Sun Dec  3 22:02:32 2017,Savannah Bight,HN,16.45,-85.85,92,24.63,100,5.12
44,Sun Dec  3 22:00:36 2017,Ushuaia,AR,-54.8,-68.3,76,8.46,85,5.9
45,Sun Dec  3 21:00:00 2017,Bredasdorp,ZA,-34.53,20.04,8,18.0,68,0.5
46,Sun Dec  3 21:00:00 2017,Nouadhibou,MR,20.93,-17.03,0,19.0,72,8.2
47,Sun Dec  3 22:02:34 2017,Tazovskiy,RU,67.47,78.7,88,-4.07,90,4.77
48,Sun Dec  3 22:02:20 2017,Qaanaaq,GL,77.48,-69.36,64,-10.25,91,1.92
49,Sun Dec  3 21:20:00 2017,Senneterre,CA,48.38,-77.23,90,1.0,100,2.6
50,Sun Dec  3 20:50:00 2017,Berlevag,NO,70.86,29.09,75,-1.0,74,8.7
51,Sun Dec  3 22:02:36 2017,Lysva,RU,58.11,57.81,88,-3.63,86,5.67
52,Sun Dec  3 21:00:00 2017,Pisco,PE,-13.7,-76.22,0,18.0,88,0.5
53,Sun Dec  3 21:00:00 2017,Georgetown,GY,6.8,-58.16,92,24.0,100,2.1
54,Sun Dec  3 21:00:00 2017,Port Elizabeth,ZA,-33.92,25.57,0,19.0,72,1.0
55,Sun Dec  3 21:00:00 2017,Walvis Bay,NA,-22.96,14.51,90,13.0,87,4.1
56,Sun Dec  3 21:25:00 2017,Dalen,NL,52.7,6.76,75,5.65,93,3.6
57,Sun Dec  3 21:30:00 2017,Camacha,PT,33.08,-16.33,40,18.0,59,6.2
58,Sun Dec  3 22:02:39 2017,Tessalit,ML,20.2,1.01,48,13.11,51,1.57
59,Sun Dec  3 21:56:00 2017,Jamestown,US,42.1,-79.24,1,-2.53,92,1.5
60,Sun Dec  3 22:02:39 2017,Shieli,KZ,44.17,66.75,0,-6.15,82,2.12
61,Sun Dec  3 22:02:40 2017,Barhi,IN,23.9,80.8,0,22.5,49,0.9
62,Sun Dec  3 21:59:51 2017,Viedma,AR,-40.81,-63.0,12,9.43,90,3.47
63,Sun Dec  3 22:02:41 2017,Lokosovo,RU,61.13,74.82,92,-3.57,88,5.62
64,Sun Dec  3 22:02:42 2017,Acari,PE,-15.43,-74.62,12,9.53,86,0.67
